code,name,1901-07,1902-07,1903-07,1904-07,1905-07,1906-07,1907-07,1908-07,1909-07,1910-07,1911-07,1912-07,1913-07,1914-07,1915-07,1916-07,1917-07,1918-07,1919-07,1920-07,1921-07,1922-07,1923-07,1924-07,1925-07,1926-07,1927-07,1928-07,1929-07,1930-07,1931-07,1932-07,1933-07,1934-07,1935-07,1936-07,1937-07,1938-07,1939-07,1940-07,1941-07,1942-07,1943-07,1944-07,1945-07,1946-07,1947-07,1948-07,1949-07,1950-07,1951-07,1952-07,1953-07,1954-07,1955-07,1956-07,1957-07,1958-07,1959-07,1960-07,1961-07,1962-07,1963-07,1964-07,1965-07,1966-07,1967-07,1968-07,1969-07,1970-07,1971-07,1972-07,1973-07,1974-07,1975-07,1976-07,1977-07,1978-07,1979-07,1980-07,1981-07,1982-07,1983-07,1984-07,1985-07,1986-07,1987-07,1988-07,1989-07,1990-07,1991-07,1992-07,1993-07,1994-07,1995-07,1996-07,1997-07,1998-07,1999-07,2000-07,2001-07,2002-07,2003-07,2004-07,2005-07,2006-07,2007-07,2008-07,2009-07,2010-07,2011-07,2012-07,2013-07,2014-07,2015-07,2016-07,2017-07,2018-07,2019-07,2020-07,2021-07,2022-07
ABW,Aruba (Neth.),420.9,420.9,420.9,420.9,420.9,420.9,420.9,420.9,420.9,420.9,569.7,487.0,413.3,393.8,379.9,442.3,447.7,434.3,253.3,324.1,363.1,503.1,367.7,574.0,275.7,446.4,624.1,486.3,342.8,305.5,498.5,475.7,535.4,439.2,483.3,455.9,558.6,544.8,430.1,288.4,218.8,620.7,443.2,479.4,305.1,378.8,314.1,310.7,438.5,574.5,393.0,375.0,306.4,380.3,535.6,599.5,303.8,219.2,274.4,376.5,403.5,342.2,477.0,328.2,373.9,667.6,350.0,316.5,617.1,612.2,298.7,455.9,446.4,384.6,513.5,261.4,217.7,300.6,563.8,311.6,648.3,334.8,272.9,413.0,641.3,354.2,391.5,591.2,362.1,463.2,310.4,383.6,290.6,367.6,383.9,501.8,254.3,426.2,707.5,484.3,346.3,266.8,392.9,641.0,658.1,503.1,414.0,624.2,333.3,697.9,672.1,348.8,324.7,282.4,281.3,440.5,375.6,467.2,218.3,394.2,420.9,420.9
ABW.14465,Administrative unit not available,420.9,420.9,420.9,420.9,420.9,420.9,420.9,420.9,420.9,420.9,569.7,487.0,413.3,393.8,379.9,442.3,447.7,434.3,253.3,324.1,363.1,503.1,367.7,574.0,275.7,446.4,624.1,486.3,342.8,305.5,498.5,475.7,535.4,439.2,483.3,455.9,558.6,544.8,430.1,288.4,218.8,620.7,443.2,479.4,305.1,378.8,314.1,310.7,438.5,574.5,393.0,375.0,306.4,380.3,535.6,599.5,303.8,219.2,274.4,376.5,403.5,342.2,477.0,328.2,373.9,667.6,350.0,316.5,617.1,612.2,298.7,455.9,446.4,384.6,513.5,261.4,217.7,300.6,563.8,311.6,648.3,334.8,272.9,413.0,641.3,354.2,391.5,591.2,362.1,463.2,310.4,383.6,290.6,367.6,383.9,501.8,254.3,426.2,707.5,484.3,346.3,266.8,392.9,641.0,658.1,503.1,414.0,624.2,333.3,697.9,672.1,348.8,324.7,282.4,281.3,440.5,375.6,467.2,218.3,394.2,420.9,420.9
AFG,Afghanistan,289.47,269.52,331.24,315.44,285.08,305.07,314.64,332.39,301.69,316.54,313.86,310.61,296.7,359.87,280.75,292.12,197.39,307.69,324.45,313.27,304.19,315.64,338.87,381.57,258.16,321.93,264.52,286.71,289.21,307.44,384.61,303.77,339.41,343.3,328.16,303.71,318.4,319.99,355.68,297.49,319.31,359.04,351.52,314.38,345.5,252.13,268.75,301.61,297.98,295.34,330.08,325.97,383.73,343.05,295.33,363.12,444.03,326.76,368.64,363.94,346.08,277.48,351.4,335.73,377.75,295.31,380.35,356.97,372.51,242.5,201.95,415.73,285.09,313.5,336.99,375.21,310.87,306.67,351.74,357.3,365.28,428.99,319.17,276.35,248.02,329.29,316.8,334.72,324.98,361.37,429.81,403.7,330.39,337.56,313.18,330.63,333.27,372.38,315.99,240.08,232.52,312.04,343.67,312.45,373.57,348.85,321.1,290.16,390.29,296.91,321.96,374.57,367.37,303.32,406.96,373.35,297.65,272.3,394.8,398.2,217.52,301.25
AFG.11,Badakhshan,541.01,609.39,699.26,610.89,610.15,591.3,562.91,704.89,544.76,676.39,530.27,584.95,560.25,651.76,429.31,351.11,237.33,600.26,625.41,687.2,734.91,661.65,692.24,710.29,519.29,560.45,610.86,662.93,572.74,664.23,835.6,593.96,654.75,708.63,701.97,505.93,572.96,615.87,548.72,561.84,616.28,713.62,693.16,595.85,660.35,493.39,452.82,749.09,713.66,580.74,672.48,721.86,994.1,723.81,640.16,682.4,851.82,779.59,691.72,700.95,527.56,609.86,639.61,711.64,836.16,794.38,808.82,750.24,933.4,535.27,405.07,779.74,683.51,650.86,670.39,655.37,769.55,622.57,689.07,724.62,810.36,593.71,550.13,746.82,615.72,741.21,886.63,675.96,631.23,614.3,817.17,685.84,734.55,681.16,602.14,722.55,579.75,856.73,795.69,583.24,514.53,649.5,823.47,679.72,782.66,791.91,570.34,637.69,813.8,712.17,648.26,714.87,731.86,591.01,834.57,786.29,644.39,536.1,738.25,746.88,422.16,629.18
AFG.110,Ghor,360.12,366.76,385.48,355.77,257.41,344.78,333.03,358.07,366.66,363.84,371.14,333.06,392.05,416.16,338.75,412.99,234.43,329.82,378.4,379.07,388.05,390.97,399.14,425.2,254.99,374.13,293.7,316.65,335.77,313.21,455.2,341.49,373.1,420.92,308.68,349.48,364.39,353.04,440.28,319.32,382.79,387.12,382.29,305.22,438.56,288.88,308.4,304.32,391.78,322.51,380.33,396.36,426.71,355.75,356.87,404.67,467.83,361.9,396.5,385.49,460.11,330.03,415.55,361.51,352.82,333.92,416.93,427.85,436.08,256.9,257.95,493.82,286.16,386.85,417.69,475.86,334.85,351.02,374.65,411.46,408.25,542.09,372.49,302.55,269.52,338.32,327.6,398.64,368.32,432.56,460.55,492.56,430.29,356.95,373.9,375.45,374.97,385.49,332.7,307.38,344.4,388.11,383.86,375.76,384.04,377.45,375.53,340.5,382.61,366.17,358.08,406.88,378.24,383.25,395.21,424.34,361.02,366.92,401.71,404.08,357.07,380.14
AFG.111,Hilmand,131.24,115.26,130.77,123.23,151.71,144.02,122.81,137.21,155.39,121.71,146.81,136.81,134.51,139.6,124.36,139.63,127.75,132.39,131.34,125.92,110.81,126.06,132.11,166.0,110.17,148.92,128.64,123.78,123.11,130.04,148.45,126.72,146.3,125.5,153.97,139.84,148.44,148.38,172.54,140.55,122.65,170.79,151.18,170.51,127.04,109.9,140.56,114.36,95.88,145.98,147.41,133.08,105.86,147.55,120.89,138.84,188.93,122.84,144.06,122.1,142.18,90.08,123.32,132.95,111.09,97.84,125.58,121.2,87.4,121.31,62.47,167.53,67.95,137.44,145.22,190.05,107.53,93.52,141.43,148.66,150.23,262.27,141.37,90.08,88.2,127.55,96.02,131.19,109.95,187.0,183.37,169.8,115.54,152.79,139.81,152.69,133.08,127.54,125.12,77.06,75.36,92.91,109.15,103.46,160.15,95.64,114.19,109.35,130.62,79.59,144.2,107.54,132.42,91.94,115.25,117.84,96.2,82.18,173.27,149.1,70.95,88.69
AFG.112,Hirat,213.25,275.12,280.41,284.84,144.88,235.04,207.18,234.21,241.02,276.82,255.93,193.09,278.95,274.69,231.41,319.71,112.2,238.34,253.93,279.66,260.57,309.15,311.21,335.57,121.93,266.54,179.51,211.44,223.69,218.19,351.79,248.41,239.61,257.71,166.25,214.63,231.38,240.44,353.64,183.36,268.67,254.81,305.86,210.79,302.17,223.72,221.21,191.53,275.87,208.62,243.11,287.61,346.74,281.24,237.28,314.66,364.47,221.92,303.55,254.23,298.62,190.16,249.28,275.74,223.79,207.61,294.0,339.1,285.16,185.23,198.22,374.34,186.67,390.56,283.93,397.8,238.59,270.34,318.89,322.81,289.6,437.45,234.94,206.43,191.58,269.27,197.88,308.16,239.87,290.78,348.99,374.82,312.2,272.59,272.4,268.27,256.48,295.78,248.15,169.15,189.27,264.73,276.12,284.18,286.0,231.72,273.41,178.41,302.66,219.72,215.83,290.95,219.52,227.19,293.14,253.62,267.6,228.13,316.14,306.5,174.33,225.64
AFG.113,Jawzjan,116.43,187.45,209.17,181.82,119.62,196.18,248.56,213.23,165.15,173.16,199.17,226.8,217.78,242.54,162.45,176.46,72.31,230.51,200.34,209.21,203.6,213.93,280.04,288.01,143.26,216.03,160.29,152.41,201.89,179.35,273.06,193.92,259.35,248.14,196.64,175.66,216.28,237.71,262.18,224.18,293.77,237.92,248.74,138.16,261.88,155.95,176.58,192.04,237.73,180.63,206.07,253.06,287.43,217.22,174.62,242.38,257.59,237.98,222.12,256.98,204.25,202.76,239.46,229.33,179.74,171.35,228.54,234.48,353.61,174.95,131.44,272.61,242.21,174.4,191.29,232.11,189.14,242.42,216.0,235.34,241.4,248.57,194.51,214.86,197.08,172.16,223.28,247.4,208.93,247.33,281.35,250.62,281.82,214.73,185.86,173.84,254.67,277.93,215.52,196.19,200.0,284.57,268.54,246.94,222.89,238.11,264.33,192.34,328.64,180.09,181.95,287.25,220.6,265.44,291.4,250.97,199.77,180.54,308.88,268.7,161.14,259.88
AFG.114,Kabul,479.87,247.38,454.3,502.82,491.52,430.32,487.6,547.42,400.57,508.48,522.54,445.99,327.56,596.92,494.4,402.6,303.01,418.68,501.76,414.3,355.13,381.46,419.69,552.09,429.26,461.43,319.28,462.88,411.04,475.61,497.12,452.59,451.94,485.25,507.66,514.87,459.31,414.94,482.64,434.75,401.86,468.16,480.69,458.67,451.37,374.78,372.05,434.32,374.92,441.79,489.36,438.12,529.88,536.32,377.61,572.53,694.19,474.52,600.44,615.34,561.86,415.47,586.63,522.97,763.84,470.25,637.49,528.44,506.3,316.05,320.47,645.19,486.11,398.0,486.49,473.1,454.24,459.62,534.79,523.43,520.18,487.38,474.15,398.15,326.67,543.02,453.91,475.36,506.24,511.63,634.2,618.79,376.22,539.74,501.17,490.62,511.01,544.94,434.26,334.75,308.75,437.46,514.33,446.86,581.1,601.28,487.34,477.09,616.17,476.64,495.17,605.69,673.76,453.88,736.53,628.55,443.57,405.96,589.24,684.8,277.62,417.58
AFG.115,Kandahar,204.61,133.18,196.83,168.74,305.99,250.39,182.19,239.04,308.27,159.94,263.44,244.06,208.17,239.26,188.61,233.62,208.47,215.01,207.03,173.33,118.42,173.56,200.44,346.71,133.03,277.59,208.61,174.6,174.76,217.88,252.79,192.4,277.62,181.87,313.36,239.49,282.42,283.06,358.26,248.69,167.65,363.87,286.4,436.05,201.43,125.94,242.35,192.44,116.03,247.62,221.34,169.39,135.18,241.96,183.75,222.1,318.4,176.91,230.97,181.93,224.03,118.76,142.89,162.39,170.61,132.23,186.92,145.66,86.57,174.25,65.3,228.3,102.4,149.75,193.38,270.36,146.05,139.69,229.82,193.04,219.06,438.57,253.13,99.1,147.83,181.44,163.66,177.84,201.5,330.25,293.81,297.66,160.62,173.52,175.57,207.62,179.29,203.5,143.92,75.51,95.12,138.5,165.43,142.09,239.83,142.95,187.94,187.91,231.47,95.07,255.66,160.39,191.01,101.21,154.47,148.86,122.6,91.81,280.76,241.49,60.31,124.48
